DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
31-Jul-2003,0,0,0,13675.94,32591471,1069.16
01-Aug-2003,0,0,0,14098.86,32195422,1053.34
04-Aug-2003,0,0,0,14173.07,31840924,895.49
05-Aug-2003,0,0,0,13865.61,33846396,973.84
06-Aug-2003,0,0,0,13384.87,30600670,1048.37
07-Aug-2003,0,0,0,13491.23,25155567,776
08-Aug-2003,0,0,0,13721.01,26327853,753.66
11-Aug-2003,0,0,0,13517.39,25141268,743.31
12-Aug-2003,0,0,0,13221.23,22579942,707.71
13-Aug-2003,0,0,0,13287.37,26525871,811.43
14-Aug-2003,0,0,0,13071.62,18275904,531.62
18-Aug-2003,0,0,0,13253.53,16610653,577.51
19-Aug-2003,0,0,0,13350.07,16570318,497.62
20-Aug-2003,0,0,0,13876.74,26951114,865.99
21-Aug-2003,0,0,0,14129.67,17368540,524.58
22-Aug-2003,0,0,0,13937.98,21621064,660.83
25-Aug-2003,13933.45,14193.35,13142.6,13522.95,30749892,1036.18
26-Aug-2003,13527.65,14105.6,13527.65,13997.35,28272824,787.72
27-Aug-2003,14156.95,14593.95,14156.95,14527.3,30199773,959.29
28-Aug-2003,14623.9,15151.7,14623.9,15049.2,56136692,1564.73
29-Aug-2003,15071.2,15546.55,14932.6,15056.3,47927044,1349.88
01-Sep-2003,15057.85,15360.1,15050.75,15283.95,25717280,764.49
02-Sep-2003,15311.9,15601.1,15187.25,15544.3,39769777,1174.96
03-Sep-2003,15779.9,15901.8,15171.8,15275.3,40565711,1234.65
04-Sep-2003,15340.2,16467.5,15340.2,16358.25,44656809,1932.07
05-Sep-2003,16436.25,16778.1,16371.15,16712.6,44867799,1478.16
08-Sep-2003,16755.55,17102.8,16755.55,17022.7,37013436,1231.56
09-Sep-2003,17074.45,17617.1,17074.45,17313.65,64786564,2047.64
10-Sep-2003,17315.75,17345.05,16690.55,16998.8,55718502,1473.16
11-Sep-2003,16842,16910.95,16552.8,16638.5,36926786,1135.06
12-Sep-2003,16767.8,16968.3,16140.2,16264.6,42485456,1369.18
15-Sep-2003,16189.05,16236.35,15317.3,15412.8,37644100,1165.17
16-Sep-2003,15342.55,16323.85,15261.15,16240.75,39124849,1249.39
17-Sep-2003,16614.35,16847.3,16272.35,16414.05,36045859,1329.77
18-Sep-2003,16426.75,16432.85,15789.4,15868,38506904,1287.38
19-Sep-2003,16032.5,16296.55,15679.2,16144.95,34443376,1147.44
22-Sep-2003,16248.2,16367.8,16043.15,16100,23958048,961.82
23-Sep-2003,16039.6,16197.15,15775.5,16138.25,32536805,1115.21
24-Sep-2003,16206.05,16838.35,16200.15,16791.35,44259286,1458.05
25-Sep-2003,16689.2,16804.85,16464.15,16664.25,39787470,1386.91
26-Sep-2003,16635.05,17239.7,16604,17198.45,37599180,1394.02
29-Sep-2003,17177.3,17380.4,17042.95,17107.1,31993184,1212.26
30-Sep-2003,17204.7,17392.1,17143.25,17315.55,30161501,1104.51
01-Oct-2003,17186.65,17570.2,17092.75,17357.4,31140031,1210.69
03-Oct-2003,17384.25,17629.65,17142.4,17195.9,34431087,1299
06-Oct-2003,16302,17522.9,16302,17393.45,30781679,1110.01
07-Oct-2003,17406.15,17614.5,17135.15,17200.1,28162710,1031.62
08-Oct-2003,17223.1,17337.5,16693.6,16957.5,29396167,1248.22
09-Oct-2003,17042.75,17388.85,17037.2,17236.5,22781293,1033.89
10-Oct-2003,17521.85,18319.85,17446.8,18231,47779106,1979.72
13-Oct-2003,18354,18837.45,18354,18646.95,36052130,1435.29
14-Oct-2003,18778.9,18902,18286.45,18378.25,39543025,1473.56
15-Oct-2003,18346.5,18551.9,18001.5,18425.85,27996181,1117.77
16-Oct-2003,18489.3,18674.05,18265.35,18405.8,19385020,854.02
17-Oct-2003,18629.95,18969.4,18494.6,18926.8,37368078,1544.86
20-Oct-2003,18929.1,18952.7,18326.65,18436.95,27979753,1123.11
21-Oct-2003,18658.25,18658.25,17759.8,17863.9,26534867,1077.89
22-Oct-2003,17872.8,18027.8,17305.2,17434.2,27327194,1130.83
23-Oct-2003,17471.4,17554.1,17006.1,17069.85,31624421,1156.23
24-Oct-2003,17098.95,17854.85,17086.75,17775.85,34778540,1229.24
25-Oct-2003,17999.9,18116.65,17826.75,17861.7,8428644,285.61
27-Oct-2003,17853.5,17853.5,17194.3,17235,23558885,815.61
28-Oct-2003,17347.95,17588.1,17212.9,17382.15,26925190,1048.68
29-Oct-2003,17431.9,17697.35,17412.05,17617.65,20785686,818.05
30-Oct-2003,17686.55,17861.3,17589.35,17672.9,25021154,972.93
31-Oct-2003,17589.2,18602.65,17584.3,18550.6,34446686,1259.55
03-Nov-2003,18566.45,19615.1,18566.45,19497.9,35063206,1387.2
04-Nov-2003,19796.2,20213.45,19727.2,19870.3,46218497,1795.95
05-Nov-2003,19898.5,19916.85,19471.45,19770,41666604,1416.63
06-Nov-2003,19769.35,20358.1,19769.35,20153.8,43619161,1657.38
07-Nov-2003,20147.1,20413.65,19605.95,19742.95,32706638,1172.08
10-Nov-2003,19760.7,19760.7,19182.85,19639.1,15199921,574.75
11-Nov-2003,19638.2,19840.35,19394.4,19639.75,32866836,1183.48
12-Nov-2003,19653.65,20025.9,19576.35,19814.35,33882274,1294.3
13-Nov-2003,19899.35,20138.2,19123.2,19310.15,38268197,1449.88
14-Nov-2003,19299.2,19410.7,18882.5,18970.3,31664669,1199.93
15-Nov-2003,18981.4,19120.35,18765.75,18966.1,9938887,343.81
17-Nov-2003,19132.7,19338.55,18896.1,19225.55,23647548,916.09
18-Nov-2003,19218.35,19499.3,18917.35,19041.35,29200186,1182.11
19-Nov-2003,18924.6,19335.55,18791.2,19149.3,41485237,1574.1
20-Nov-2003,19356.85,19505.6,18914.1,18991,34713399,1241.59
21-Nov-2003,18968.35,19465.7,18924.15,19356.55,33216250,1215.86
24-Nov-2003,19448.3,19574.25,19163.55,19456.9,29699382,1102.33
25-Nov-2003,19720.7,19838.5,19688.2,19802.35,30101930,1168.95
27-Nov-2003,19861.6,20552.35,19861.6,20459.05,35523618,1495.99
28-Nov-2003,20461.15,20742.65,20422.85,20644.8,29455612,1093.31
01-Dec-2003,20767.55,21815.5,20767.55,21706.6,34434423,1428.43
02-Dec-2003,21785.5,22023.3,21172.7,21449.25,44793771,1677.96
03-Dec-2003,21461.85,21563.05,21291.35,21467.6,33028802,1171.24
04-Dec-2003,21475.9,21591.95,21136.6,21407.8,33882957,1229.54
05-Dec-2003,21420.8,21455.2,20640.9,20708.55,32129736,1108.67
08-Dec-2003,20648.15,20884.6,20480.6,20791,36267507,1332.88
09-Dec-2003,20886,21244.15,20886,21211.85,36244771,1062.4
10-Dec-2003,21215.2,21494.5,21002.05,21350.85,34032380,1165.13
11-Dec-2003,21450.1,21685.95,21327,21620.1,30433124,1069.88
12-Dec-2003,21756.65,21868.6,21510,21698.75,31405829,1123.9
15-Dec-2003,21857.8,22359.45,21857.8,22287.75,29388110,1031.62
16-Dec-2003,22241.3,22500.4,21912.3,22405,32652649,1369.27
17-Dec-2003,22022.8,22319.1,22022.8,22178.65,33134977,1248.96
18-Dec-2003,22218.3,22486.75,22186.95,22381.6,21164129,880.97
19-Dec-2003,22430.75,22833.15,22430.75,22645.75,24653716,1079.57
22-Dec-2003,22635.45,22749.15,22487.95,22693.55,19433376,806.57
23-Dec-2003,22706,22896.1,22588.8,22652.05,24919710,1054.91
24-Dec-2003,22673.75,23054.05,22530.5,22965.4,28364020,1026.59
26-Dec-2003,22967.2,23137.15,22890.35,22992.5,19822512,749.95
29-Dec-2003,23026.7,23679.8,23026.7,23615.7,24829973,989.53
30-Dec-2003,23645.9,24164.05,23379.85,23562.3,28457602,1125.95
31-Dec-2003,23550.15,23802.55,23406.75,23542.25,23279330,895.7
01-Jan-2004,23625.35,23996.05,23625.35,23911.9,20575686,728.41
02-Jan-2004,23929.55,24168.15,23868.8,23987.2,36724504,1028.13
05-Jan-2004,24039.8,24365.35,23928.15,24234.3,29405274,1081.06
06-Jan-2004,24254.75,24627.85,23183.65,23491.7,37625879,1415.54
07-Jan-2004,23570.25,23682.05,23040.95,23357.4,34013887,1372.56
08-Jan-2004,23442.3,24281.35,23442.3,24157.45,39022210,1513.11
09-Jan-2004,24758.6,25317.6,23970.7,24226.65,42337671,1784.12
12-Jan-2004,24571.15,24571.15,23571.95,23819.6,29763745,1105.02
13-Jan-2004,23765.25,24071.95,23582.7,23962.1,25974391,1018.32
14-Jan-2004,23990.35,24273.1,23904.6,23966.95,24903695,973.36
15-Jan-2004,23955.5,24104.2,23132.3,23296.1,33949832,1276.87
16-Jan-2004,23217.55,23263.25,22555.95,22874.35,34158799,1231.4
19-Jan-2004,22971.75,23319.35,22631.1,23195.8,27418141,1055.73
20-Jan-2004,23265.4,23572.25,22587.95,22795.95,27232427,1005.01
21-Jan-2004,22972.4,23251.8,21883.95,22123.75,39057236,1417.64
22-Jan-2004,22156.7,22805.45,21345.95,21612.05,44297767,1694.53
23-Jan-2004,21748.1,22959.25,21748.1,22838.05,30895749,1186.02
27-Jan-2004,23113.7,23257.3,22283.55,23135.15,30985836,1149.03
28-Jan-2004,23126.3,23126.3,22059.65,22391.3,32947716,1164.12
29-Jan-2004,22461.95,22461.95,21503.25,21759.5,32240160,1294.02
30-Jan-2004,21790.05,21916.05,21279.35,21370.45,24057709,882.18
03-Feb-2004,21415.45,21551.6,20720.55,20836.1,28237111,1070.01
04-Feb-2004,20840.65,21308.65,20731.95,21241.05,33836129,1131.61
05-Feb-2004,21230.4,21740.2,20983.05,21239.4,38255087,1411.69
06-Feb-2004,21204.25,21749.7,21204.25,21700.9,24309441,992.63
09-Feb-2004,21845.45,22445.2,21845.45,22330.65,20429598,842
10-Feb-2004,22388.05,22417.05,21833.65,22017.15,31199495,1107.54
11-Feb-2004,21985.4,22303.8,21966.15,22107.2,23173086,854.09
12-Feb-2004,22175.65,22312.95,21635.55,21786.25,25792558,1199.63
13-Feb-2004,21797.25,22186.45,21759.95,22150,18515388,875.32
16-Feb-2004,22167.9,22365.9,22080.4,22126.3,20941377,783.16
17-Feb-2004,22127.55,22238.4,21949.45,22192.95,16951599,676.89
18-Feb-2004,22340.25,22457.6,21935.9,22002.15,20188991,789.79
19-Feb-2004,22017.55,22017.55,20905.25,21003.35,29658817,1175.22
20-Feb-2004,20934.65,21264.65,20485.85,20875.25,36612235,1454.01
23-Feb-2004,20898.85,21085.85,20443.55,20532.65,24555262,897.99
24-Feb-2004,20479.55,20545,19916.4,20446.6,31642416,1184.71
25-Feb-2004,21229.1,21229.1,20113,20225.35,23416552,876.82
26-Feb-2004,20282.35,20577.2,19799.85,19920.55,25929700,1070.56
27-Feb-2004,19936.15,20727.1,19923.65,20599.2,30051379,1120.93
01-Mar-2004,20734.6,21267.65,20717.9,21225.5,22122021,936.77
03-Mar-2004,21229.95,21243.4,20860.55,21072.8,26105344,948.32
04-Mar-2004,21113.45,21492.25,21045.5,21221.25,28548181,1101.19
05-Mar-2004,21249.15,21349.85,20956.45,21085.1,20839165,774.41
08-Mar-2004,21080.45,21127.55,20571.7,20627.9,19218722,750.33
09-Mar-2004,20606.25,20606.25,19897.5,20320.55,23531484,1057.96
10-Mar-2004,20187.6,20422.2,19964.8,20282.2,21493080,932.49
11-Mar-2004,20038.05,20271,19938.1,19999.05,18313210,741.18
12-Mar-2004,20033.45,20664.1,19857.35,20520.8,19235966,955.67
15-Mar-2004,20558.2,20924.7,19850.85,20034.3,23693567,960.21
16-Mar-2004,19866.25,20214.95,19694.2,20124.75,28405738,1023.96
17-Mar-2004,20187.25,20406.5,20141.4,20307,20446580,857.64
18-Mar-2004,20326.55,20429.05,19718.25,19810.9,18110518,686.1
19-Mar-2004,19795.5,20473.35,19795.5,20294.25,20810731,956.16
22-Mar-2004,20313.3,20313.3,19520.3,19597.9,22270858,746.63
23-Mar-2004,19503.75,20039.1,19228.4,19816.4,22704901,807.17
24-Mar-2004,19781.05,19811.45,19363.75,19556.25,23973465,857.87
25-Mar-2004,19570.7,20076.25,19535.2,19807.35,25491090,890.91
26-Mar-2004,19892.65,20501.3,19892.65,20401.4,25238490,910.35
29-Mar-2004,20396.95,20465.75,19989.2,20177.1,14668825,565.19
30-Mar-2004,20199.8,20413.55,19624.45,19694.55,21088513,825.86
31-Mar-2004,19667.3,19791.55,19245.15,19372.9,24448292,1013.06
01-Apr-2004,19386.95,19937.55,19386.95,19824.35,17703670,718.79
02-Apr-2004,19800.9,19932.75,19533.5,19665.45,20796118,871.13
05-Apr-2004,19667.85,20428.85,19667.85,20247.2,16875261,731.67
06-Apr-2004,21208.75,21208.75,20338.9,20492.1,23903788,1202.41
07-Apr-2004,20474.9,20668.8,20312.4,20580.9,14887702,639.92
08-Apr-2004,21018.95,21018.95,20689.7,20737.4,14791620,696.62
12-Apr-2004,20795.7,20915.75,20336.15,20470.2,20006219,886.2
13-Apr-2004,20743.95,22019.85,20743.95,21923.6,30526346,1599.64
15-Apr-2004,22119.45,22119.45,21573.95,21685.25,25361788,1401.28
16-Apr-2004,21943.6,22119.05,21863.6,21929.9,20508157,1030.75
17-Apr-2004,21989.3,22005.35,21819.25,21859.4,3951843,181.27
19-Apr-2004,21869.1,21869.1,21362.05,21522.9,13041694,624.38
20-Apr-2004,21570.55,21747.2,21533.25,21631.5,13735432,596.96
21-Apr-2004,21547.75,21794.5,21409.65,21702.85,13643829,615.45
22-Apr-2004,21717.8,21832,21639.45,21684.7,12883332,521.01
23-Apr-2004,21588.75,21843.75,21475.95,21533.7,17183902,789.85
27-Apr-2004,21475.15,21475.15,20721,20808.75,12228143,625.59
28-Apr-2004,20809.05,20954.45,20528.65,20596.7,11998316,589.47
29-Apr-2004,20591.25,20751.55,20403.4,20521.3,15316463,779.06
30-Apr-2004,20403.75,20888.5,20403.75,20687,11105022,597.89
03-May-2004,20832,20832,20350.45,20606.1,14162302,559.9
04-May-2004,20649.7,21042.1,20649.7,20998.7,11578366,491.38
05-May-2004,21000.15,21275.25,21000.15,21180.45,8554015,430.75
06-May-2004,21252.55,21403.9,21167.3,21238.35,9881651,408.11
07-May-2004,21241.85,21241.85,20736.7,20788.2,8856398,340.09
10-May-2004,20770.65,20770.65,20280.65,20384.6,10862782,414.71
11-May-2004,20351,20351,19878.35,19977.8,13160651,573.5
12-May-2004,19995.35,20333.55,19977.15,20199.25,12445277,538.5
13-May-2004,20211.55,21080.45,19397.85,20778.75,14753506,711.11
14-May-2004,20784.4,21071.1,20112.35,20258.05,16481048,741.1
17-May-2004,20207.15,20207.15,17171.2,17539.85,10397247,506.93
18-May-2004,17571.8,20073.1,17571.8,19749.9,14121120,769.41
19-May-2004,19820.05,20288.65,19640.45,19996.75,13211226,527.57
20-May-2004,20002.35,20723.05,19715.85,19768.95,9325567,390.96
21-May-2004,19762.45,19951,19379.5,19872.9,9907946,442.77
24-May-2004,19894.1,21504.15,19877.75,21425.8,28499994,1046.4
25-May-2004,21417.95,21636.65,20768.65,21401.6,27281788,1037.8
26-May-2004,21469.3,21599.35,21111.6,21241.5,26092616,871.61
27-May-2004,21179.7,21478.45,20982.85,21264.15,19057798,712.72
28-May-2004,2132.05,2139.4,1989.1,2011.25,23107129,966.69
31-May-2004,2008.15,2063.5,1955.7,2042.15,19856666,820.86
01-Jun-2004,2044.75,2089.95,2044.75,2061.05,14799098,650.16
02-Jun-2004,2062.15,2083.45,2048.65,2076,9893839,432.23
03-Jun-2004,2091.05,2100.5,2003.5,2012.8,15181568,682.54
04-Jun-2004,2013.1,2042.6,1985.65,2033.85,18849562,695.34
07-Jun-2004,2066.5,2067.8,2017.9,2035.75,15604799,610.69
08-Jun-2004,2058.45,2060.2,2014.05,2028.5,20123156,840.93
09-Jun-2004,2027.65,2047.05,2021.05,2031.8,17354133,604.76
10-Jun-2004,2031.05,2066.2,2022.45,2060.6,18564042,599.46
11-Jun-2004,2061.85,2064.85,2001.6,2008.1,21309039,733.37
14-Jun-2004,2007.45,2013.65,1950.5,1955.6,16091303,587.87
15-Jun-2004,1955.9,2003.2,1952.05,1992.35,16535947,620.79
16-Jun-2004,1994.25,2016.9,1988.4,1999.95,15466332,563.7
17-Jun-2004,1999.9,2026.35,1989.55,2020.1,13403749,491.01
18-Jun-2004,2025.1,2046.7,2004.15,2028.3,17490484,726.28
21-Jun-2004,2032.05,2067.7,2031.15,2059.35,15116109,681.27
22-Jun-2004,2063.6,2065.05,2041.35,2061.8,14046396,588.29
23-Jun-2004,2060.25,2080.6,2028.2,2036.15,16563373,651.92
24-Jun-2004,2042.7,2096.05,2030.2,2088.15,20801081,901.03
25-Jun-2004,2075.75,2113.85,2074.4,2105.7,17117962,692.79
28-Jun-2004,2111.55,2172.3,2111.55,2168.5,25888543,868.88
29-Jun-2004,2173.55,2179.1,2133.65,2148.1,29092003,1066.59
30-Jun-2004,2147.85,2162.15,2109.6,2115.2,21005698,811.86
01-Jul-2004,2118.05,2150.45,2096.45,2142.75,15784626,592.67
02-Jul-2004,2141.45,2161.45,2110.25,2140.75,17381671,617.41
05-Jul-2004,2144.7,2166.45,2129.25,2137.1,20078267,569.03
06-Jul-2004,2133,2153.45,2114.1,2146.85,16435726,539.12
07-Jul-2004,2138.9,2148.35,2082.3,2092.05,21208093,755.85
08-Jul-2004,2092.05,2135.1,2031.1,2054.5,24109803,892.41
09-Jul-2004,2027.75,2077.9,1967.45,2072.35,10924182,439.69
12-Jul-2004,2074.4,2103,2063.55,2076.35,12494677,501.6
13-Jul-2004,2098.6,2129.35,2075.45,2091.4,18279686,732.66
14-Jul-2004,2093.85,2137.6,2093.85,2123.65,22533757,802.2
15-Jul-2004,2133.75,2165.85,2124.75,2161.45,17846552,612.84
16-Jul-2004,2164.95,2194,2151.95,2186.1,19935370,728.32
19-Jul-2004,2186.3,2209.85,2177.9,2192.65,16977195,566.91
20-Jul-2004,2190.5,2190.5,2155.35,2160.4,13892136,487.45
21-Jul-2004,2161.45,2186.3,2149.05,2168.05,13534232,517.53
22-Jul-2004,2186.55,2194.15,2158.6,2169.4,16896458,574.82
23-Jul-2004,2182.4,2214.4,2178.55,2185.2,15715168,548.64
26-Jul-2004,2176.8,2187.35,2155.7,2180.65,11182575,407.87
27-Jul-2004,2192.6,2207.8,2168.6,2174.8,12775961,516.7
28-Jul-2004,2178.1,2217.55,2178.1,2209.75,15026917,631.43
29-Jul-2004,2212.25,2255,2203.35,2246.85,16405569,634.75
30-Jul-2004,2252.95,2289,2249.5,2269.2,18077797,705.96
02-Aug-2004,2270.9,2275.6,2248.15,2258.7,11327254,470.99
03-Aug-2004,2260.65,2280.95,2252.35,2266.05,14852655,638.44
04-Aug-2004,2265.8,2265.8,2229.95,2239.4,10940334,451.62
05-Aug-2004,2242,2306.6,2239.85,2300.5,15009225,621.35
06-Aug-2004,2300.2,2300.2,2248.75,2264.5,16911648,698.69
09-Aug-2004,2250.3,2284.55,2228.35,2281.25,11519498,509.57
10-Aug-2004,2284.7,2299.3,2265.85,2286.8,11776363,484.58
11-Aug-2004,2292.05,2316.4,2255.2,2264.85,15054175,644.85
12-Aug-2004,2253.2,2271.4,2225.55,2236.65,12154738,550.37
13-Aug-2004,2233.55,2243.55,2204.15,2210.85,12128963,491.2
16-Aug-2004,2212.65,2232.6,2202.1,2226.65,8630819,369.23
17-Aug-2004,2228.1,2257.95,2225.25,2234.55,11000097,429.15
18-Aug-2004,2234.85,2250.9,2222.8,2231.95,14217896,515.93
19-Aug-2004,2247.45,2293.9,2247.45,2289.35,13674990,650.2
20-Aug-2004,2290.1,2304.1,2275.3,2294.3,10534738,505.17
23-Aug-2004,2296.05,2338,2293.85,2303.4,12787104,550.91
24-Aug-2004,2304.45,2333.7,2304.45,2325.15,14630076,518.3
25-Aug-2004,2334.55,2341.05,2284.2,2296.2,13752010,519.6
26-Aug-2004,2289.65,2323.7,2289.65,2318.25,11483442,501.34
27-Aug-2004,2318.55,2322,2299.7,2318.2,12296525,402.84
30-Aug-2004,2324.6,2344.15,2317.85,2340.25,9100971,328.98
31-Aug-2004,2340.55,2352.9,2323.25,2340.15,10376500,376.22
01-Sep-2004,2342.7,2352.95,2340.35,2343.9,7194694,240.87
02-Sep-2004,2347.85,2386.55,2347.85,2372.3,17930412,659.73
03-Sep-2004,2374.15,2395.5,2369,2390.1,13623763,494.07
06-Sep-2004,2391.65,2413.85,2391.65,2405.6,14658730,460.98
07-Sep-2004,2405.8,2429.35,2398.45,2424.2,14543129,513.18
08-Sep-2004,2426.25,2436.9,2419.4,2426.2,11190485,401.2
09-Sep-2004,2426.25,2432.45,2402.9,2416.2,9271423,357.32
10-Sep-2004,2423,2450.7,2415.65,2444.55,14490242,571.01
13-Sep-2004,2442.9,2480.4,2442.9,2459.9,13575848,564.94
14-Sep-2004,2460.85,2506.5,2455.3,2501.7,17449253,850.04
15-Sep-2004,2502.7,2512.2,2470.2,2480.45,20434181,778.19
16-Sep-2004,2470.15,2490.4,2459.7,2487.85,14947668,553.62
17-Sep-2004,2489.5,2493,2470.25,2483.45,13069732,587.63
20-Sep-2004,2479.85,2479.85,2441.3,2445.85,12572688,580.3
21-Sep-2004,2447.85,2502.9,2443.55,2498.8,15719809,740.63
22-Sep-2004,2503.6,2516.85,2479,2503.65,14465704,617.97
23-Sep-2004,2493.8,2493.8,2447,2452.95,11043517,548.2
